rho,trial,q,sat_seed,size_null_seed,checkpoint_swaps_per_edge,rewire_seed,stage_successful_swaps,stage_attempted_swaps,cumulative_successful_swaps,cumulative_attempted_swaps,stage_acceptance_rate,clustering,degree_sequence_sha256,size_sequence_sha256,sat_degree_sequence_sha256,sat_size_sequence_sha256
3.0,9,488,3648809630,2129790888,200,3325015198,48800,48938,97600,97874,0.9971801054395357,0.21762448149465366,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734,701998d465ed414884f4fc3d67c999cbf0d82a0065d89be4e9f8b6f4f8265804,87923594224bf9b7b610fa1b88931bc5dac549a0631c1ce6a751d31e6a8fb734
3.0,10,479,4122449457,1461925212,20,1502033043,9580,9595,9580,9595,0.9984366857738406,0.22350384493649997,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430
3.0,10,479,4122449457,1461925212,50,2540540642,14370,14398,23950,23993,0.9980552854563134,0.2252657279994635,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430
3.0,10,479,4122449457,1461925212,100,1804919175,23950,23987,47900,47980,0.9984574978113144,0.22324636805453418,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430
3.0,10,479,4122449457,1461925212,200,406145067,47900,47975,95800,95955,0.9984366857738406,0.22417563298041684,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430,d4328268f7395cbb4d68453ecdb599100609bc83d1dce1b1b751594f94571820,08c884bd16d038b2979562c9097f3909a42369154edec5bb99f41142e6aa3430
3.0,11,466,590294508,3958225910,20,811515439,9320,9338,9320,9338,0.9980723923752409,0.2300058220357876,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11
3.0,11,466,590294508,3958225910,50,865089019,13980,14011,23300,23349,0.9977874527157233,0.23585321386015337,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11
3.0,11,466,590294508,3958225910,100,1203654816,23300,23336,46600,46685,0.9984573191635242,0.2358663548439155,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11
3.0,11,466,590294508,3958225910,200,1569211035,46600,46679,93200,93364,0.9983075901368924,0.22984301043477487,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11,195c51335e03f7a833cfc566c98587d599b506caa9364c3ceebefd94565ba1c4,5486d40e9659daa35e59bd78b03060fb153804def2c5815ffc5312ea9cba0a11
3.0,12,490,383226136,1239347416,20,4077954021,9800,9826,9800,9826,0.9973539588845919,0.23330273561146753,d5afc41c00a459c0eecc659c956a767f4a7cfec8db0289525e25db8f003d0582,6965cdf70ab940ca7ee8168cd578238e4837dab768a5748e9d73a04dcb60f17d,d5afc41c00a459c0eecc659c956a767f4a7cfec8db0289525e25db8f003d0582,6965cdf70ab940ca7ee8168cd578238e4837dab768a5748e9d73a04dcb60f17d
