gamma,trial,size,unique_count,unique_proportion,retained_attempts,unique_edges
2.5,21,4,147,0.19066147859922178,1068,771
2.5,21,5,197,0.25551232166018156,1068,771
2.5,22,2,216,0.2887700534759358,1035,748
2.5,22,3,196,0.2620320855614973,1035,748
2.5,22,4,143,0.19117647058823528,1035,748
2.5,22,5,193,0.2580213903743315,1035,748
2.5,23,2,233,0.30299089726918077,1050,769
2.5,23,3,222,0.2886866059817945,1050,769
2.5,23,4,153,0.19895968790637192,1050,769
2.5,23,5,161,0.2093628088426528,1050,769
2.5,24,2,224,0.2962962962962963,1038,756
2.5,24,3,211,0.2791005291005291,1038,756
2.5,24,4,141,0.1865079365079365,1038,756
2.5,24,5,180,0.23809523809523808,1038,756
2.5,25,2,262,0.33589743589743587,1047,780
2.5,25,3,201,0.25769230769230766,1047,780
2.5,25,4,144,0.18461538461538463,1047,780
2.5,25,5,173,0.22179487179487178,1047,780
2.5,26,2,227,0.28991060025542786,1073,783
2.5,26,3,217,0.2771392081736909,1073,783
2.5,26,4,156,0.19923371647509577,1073,783
2.5,26,5,183,0.23371647509578544,1073,783
2.5,27,2,219,0.2765151515151515,1032,792
2.5,27,3,201,0.2537878787878788,1032,792
2.5,27,4,172,0.21717171717171718,1032,792
2.5,27,5,200,0.25252525252525254,1032,792
2.5,28,2,252,0.32142857142857145,1037,784
2.5,28,3,196,0.25,1037,784
2.5,28,4,155,0.19770408163265307,1037,784
2.5,28,5,181,0.2308673469387755,1037,784
2.5,29,2,226,0.293888166449935,1052,769
2.5,29,3,202,0.2626788036410923,1052,769
2.5,29,4,169,0.21976592977893367,1052,769
2.5,29,5,172,0.22366710013003901,1052,769
2.5,30,2,219,0.29045092838196285,1007,754
2.5,30,3,210,0.27851458885941643,1007,754
2.5,30,4,152,0.20159151193633953,1007,754
2.5,30,5,173,0.22944297082228116,1007,754
2.5,31,2,235,0.29012345679012347,1079,810
2.5,31,3,221,0.27283950617283953,1079,810
2.5,31,4,170,0.20987654320987653,1079,810
2.5,31,5,184,0.2271604938271605,1079,810
2.5,32,2,222,0.2901960784313726,1038,765
2.5,32,3,219,0.28627450980392155,1038,765
2.5,32,4,154,0.20130718954248367,1038,765
2.5,32,5,170,0.2222222222222222,1038,765
2.5,33,2,229,0.293213828425096,1036,781
2.5,33,3,204,0.2612035851472471,1036,781
2.5,33,4,173,0.22151088348271447,1036,781
2.5,33,5,175,0.22407170294494239,1036,781
2.5,34,2,223,0.2977303070761015,1014,749
2.5,34,3,193,0.2576769025367156,1014,749
2.5,34,4,151,0.20160213618157544,1014,749
2.5,34,5,182,0.24299065420560748,1014,749
2.5,35,2,246,0.30597014925373134,1066,804
2.5,35,3,224,0.27860696517412936,1066,804
2.5,35,4,168,0.208955223880597,1066,804
2.5,35,5,166,0.2064676616915423,1066,804
2.5,36,2,227,0.29442282749675747,1011,771
2.5,36,3,217,0.2814526588845655,1011,771
2.5,36,4,150,0.19455252918287938,1011,771
2.5,36,5,177,0.22957198443579765,1011,771
2.5,37,2,233,0.2979539641943734,1045,782
2.5,37,3,210,0.26854219948849106,1045,782
2.5,37,4,159,0.20332480818414322,1045,782
2.5,37,5,180,0.23017902813299232,1045,782
2.5,38,2,236,0.295,1058,800
2.5,38,3,210,0.2625,1058,800
2.5,38,4,172,0.215,1058,800
2.5,38,5,182,0.2275,1058,800
2.5,39,2,216,0.2930800542740841,1017,737
2.5,39,3,213,0.28900949796472186,1017,737
2.5,39,4,156,0.21166892808683854,1017,737
2.5,39,5,152,0.2062415196743555,1017,737
2.5,40,2,230,0.2967741935483871,1063,775
2.5,40,3,219,0.28258064516129033,1063,775
2.5,40,4,153,0.19741935483870968,1063,775
2.5,40,5,173,0.2232258064516129,1063,775
2.5,41,2,239,0.306803594351733,1057,779
2.5,41,3,198,0.25417201540436457,1057,779
2.5,41,4,161,0.20667522464698332,1057,779
2.5,41,5,181,0.23234916559691912,1057,779
2.5,42,2,233,0.2991014120667522,1042,779
2.5,42,3,220,0.28241335044929394,1042,779
2.5,42,4,159,0.20410783055198972,1042,779
2.5,42,5,167,0.21437740693196405,1042,779
2.5,43,2,221,0.29310344827586204,1031,754
2.5,43,3,213,0.28249336870026526,1031,754
2.5,43,4,152,0.20159151193633953,1031,754
2.5,43,5,168,0.22281167108753316,1031,754
2.5,44,2,236,0.29987293519695046,1052,787
