panel,group,rho,trial,apl_lcc,lcc_fraction,connected,mean_hypergraph_vertex_degree
n,300,3.0,5,6.716325110547462,0.9966666666666667,0,5.703333333333333
gamma,2.0,3.5,5,6.579531772575251,1.0,1,6.43
n,300,3.5,5,6.579531772575251,1.0,1,6.43
gamma,2.0,4.0,5,6.418595317725752,1.0,1,7.083333333333333
n,300,4.0,5,6.418595317725752,1.0,1,7.083333333333333
gamma,2.0,4.5,5,6.2042140468227425,1.0,1,7.773333333333333
n,300,4.5,5,6.2042140468227425,1.0,1,7.773333333333333
gamma,2.0,5.0,5,6.126956521739131,1.0,1,8.36
n,300,5.0,5,6.126956521739131,1.0,1,8.36
gamma,2.0,1.5,6,9.77652944539737,0.8833333333333333,0,3.07
n,300,1.5,6,9.77652944539737,0.8833333333333333,0,3.07
gamma,2.0,2.0,6,7.987409200968523,0.9833333333333333,0,3.8966666666666665
n,300,2.0,6,7.987409200968523,0.9833333333333333,0,3.8966666666666665
gamma,2.0,2.5,6,7.451482720178372,1.0,1,4.793333333333333
n,300,2.5,6,7.451482720178372,1.0,1,4.793333333333333
gamma,2.0,3.0,6,7.115964325529543,1.0,1,5.5633333333333335
n,300,3.0,6,7.115964325529543,1.0,1,5.5633333333333335
gamma,2.0,3.5,6,6.918260869565217,1.0,1,6.193333333333333
n,300,3.5,6,6.918260869565217,1.0,1,6.193333333333333
gamma,2.0,4.0,6,6.6289632107023415,1.0,1,6.85
n,300,4.0,6,6.6289632107023415,1.0,1,6.85
gamma,2.0,4.5,6,6.45603121516165,1.0,1,7.55
n,300,4.5,6,6.45603121516165,1.0,1,7.55
gamma,2.0,5.0,6,6.36989966555184,1.0,1,8.113333333333333
n,300,5.0,6,6.36989966555184,1.0,1,8.113333333333333
gamma,2.0,1.5,7,12.41093405881591,0.83,0,2.8266666666666667
n,300,1.5,7,12.41093405881591,0.83,0,2.8266666666666667
gamma,2.0,2.0,7,9.243834743834745,0.99,0,3.63
n,300,2.0,7,9.243834743834745,0.99,0,3.63
gamma,2.0,2.5,7,8.438907469342253,1.0,1,4.403333333333333
n,300,2.5,7,8.438907469342253,1.0,1,4.403333333333333
gamma,2.0,3.0,7,7.19056856187291,1.0,1,5.25
n,300,3.0,7,7.19056856187291,1.0,1,5.25
gamma,2.0,3.5,7,6.974693422519509,1.0,1,5.836666666666667
n,300,3.5,7,6.974693422519509,1.0,1,5.836666666666667
gamma,2.0,4.0,7,6.588494983277592,1.0,1,6.47
n,300,4.0,7,6.588494983277592,1.0,1,6.47
gamma,2.0,4.5,7,6.413690078037904,1.0,1,7.09
n,300,4.5,7,6.413690078037904,1.0,1,7.09
gamma,2.0,5.0,7,6.137569676700111,1.0,1,7.68
n,300,5.0,7,6.137569676700111,1.0,1,7.68
gamma,2.0,1.5,8,10.66766501822572,0.98,0,3.34
n,300,1.5,8,10.66766501822572,0.98,0,3.34
gamma,2.0,2.0,8,8.341316693227986,0.9966666666666667,0,4.22
n,300,2.0,8,8.341316693227986,0.9966666666666667,0,4.22
gamma,2.0,2.5,8,7.298573021181717,1.0,1,4.95
n,300,2.5,8,7.298573021181717,1.0,1,4.95
gamma,2.0,3.0,8,6.937324414715719,1.0,1,5.733333333333333
n,300,3.0,8,6.937324414715719,1.0,1,5.733333333333333
gamma,2.0,3.5,8,6.6232552954292085,1.0,1,6.426666666666667
n,300,3.5,8,6.6232552954292085,1.0,1,6.426666666666667
gamma,2.0,4.0,8,6.476142697881828,1.0,1,7.07
n,300,4.0,8,6.476142697881828,1.0,1,7.07
gamma,2.0,4.5,8,6.361426978818283,1.0,1,7.56
n,300,4.5,8,6.361426978818283,1.0,1,7.56
gamma,2.0,5.0,8,6.2726421404682275,1.0,1,8.066666666666666
n,300,5.0,8,6.2726421404682275,1.0,1,8.066666666666666
gamma,2.0,1.5,9,12.247774123686533,0.9133333333333333,0,3.03
n,300,1.5,9,12.247774123686533,0.9133333333333333,0,3.03
