gamma,rho,trial,mean_hypergraph_vertex_degree,attempt_level_reference,unique_fraction_attempts,unique_fraction_retained
1.5,3.5,24,6.668,8.896057536719022,0.5354285714285715,0.7218798151001541
1.5,3.5,25,6.704,8.896057536719022,0.548,0.7399691358024691
1.5,3.5,26,6.356,8.896057536719022,0.5228571428571429,0.6963470319634704
1.5,3.5,27,6.736,8.896057536719022,0.5434285714285715,0.7360681114551083
1.5,3.5,28,6.338,8.896057536719022,0.5114285714285715,0.7103174603174603
1.5,3.5,29,6.532,8.896057536719022,0.5348571428571428,0.72
1.5,4.0,0,7.39,10.166922899107453,0.5195,0.6954484605087015
1.5,4.0,1,7.546,10.166922899107453,0.5385,0.7132450331125828
1.5,4.0,2,7.274,10.166922899107453,0.5125,0.6953867028493894
1.5,4.0,3,7.24,10.166922899107453,0.5065,0.7078965758211041
1.5,4.0,4,7.594,10.166922899107453,0.5415,0.7157964309319234
1.5,4.0,5,7.396,10.166922899107453,0.52,0.7065217391304348
1.5,4.0,6,7.602,10.166922899107453,0.5305,0.7111260053619303
1.5,4.0,7,7.318,10.166922899107453,0.5185,0.704483695652174
1.5,4.0,8,7.422,10.166922899107453,0.524,0.7100271002710027
1.5,4.0,9,7.654,10.166922899107453,0.5335,0.7199730094466936
1.5,4.0,10,7.266,10.166922899107453,0.5175,0.6950973807924782
1.5,4.0,11,7.34,10.166922899107453,0.523,0.6959414504324684
1.5,4.0,12,7.614,10.166922899107453,0.535,0.722972972972973
1.5,4.0,13,7.3,10.166922899107453,0.5185,0.6872100728959576
1.5,4.0,14,6.938,10.166922899107453,0.4925,0.6741957563312799
1.5,4.0,15,7.344,10.166922899107453,0.5215,0.7075983717774763
1.5,4.0,16,7.502,10.166922899107453,0.5455,0.7098243331164606
1.5,4.0,17,7.2,10.166922899107453,0.515,0.683477106834771
1.5,4.0,18,7.35,10.166922899107453,0.522,0.703030303030303
1.5,4.0,19,7.526,10.166922899107453,0.531,0.7089452603471295
1.5,4.0,20,7.426,10.166922899107453,0.5165,0.7027210884353742
1.5,4.0,21,7.26,10.166922899107453,0.5145,0.6855429713524317
1.5,4.0,22,7.194,10.166922899107453,0.511,0.70434183321847
1.5,4.0,23,6.966,10.166922899107453,0.495,0.6716417910447762
1.5,4.0,24,7.376,10.166922899107453,0.5205,0.7091280653950953
1.5,4.0,25,7.094,10.166922899107453,0.497,0.7029702970297029
1.5,4.0,26,7.14,10.166922899107453,0.505,0.686141304347826
1.5,4.0,27,7.282,10.166922899107453,0.5145,0.6846307385229541
1.5,4.0,28,7.49,10.166922899107453,0.534,0.701247537754432
1.5,4.0,29,7.694,10.166922899107453,0.5485,0.7137280416395576
1.5,4.5,0,7.92,11.437788261495884,0.4955555555555556,0.6741233373639661
1.5,4.5,1,7.784,11.437788261495884,0.48933333333333334,0.6804697156983931
1.5,4.5,2,8.092,11.437788261495884,0.5022222222222222,0.6865127582017011
1.5,4.5,3,8.024,11.437788261495884,0.5031111111111111,0.6827503015681544
1.5,4.5,4,8.178,11.437788261495884,0.5111111111111111,0.6808762581409118
1.5,4.5,5,8.15,11.437788261495884,0.5035555555555555,0.6904326630103595
1.5,4.5,6,8.044,11.437788261495884,0.5106666666666667,0.6786769049025398
1.5,4.5,7,8.212,11.437788261495884,0.5168888888888888,0.6833137485311398
1.5,4.5,8,8.012,11.437788261495884,0.49866666666666665,0.6710526315789473
1.5,4.5,9,8.062,11.437788261495884,0.5,0.6838905775075987
1.5,4.5,10,7.672,11.437788261495884,0.4791111111111111,0.6666666666666666
1.5,4.5,11,8.024,11.437788261495884,0.5026666666666667,0.6871202916160389
1.5,4.5,12,8.114,11.437788261495884,0.5097777777777778,0.6868263473053893
1.5,4.5,13,8.18,11.437788261495884,0.5097777777777778,0.6770956316410862
1.5,4.5,14,8.094,11.437788261495884,0.5062222222222222,0.6836734693877551
